"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","Canonical Link Element 2","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.how-ma.com/mag/","1","Indexable","","https://www.how-ma.com/mag/","","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","https://www.how-ma.com/mag/page/2/","","",""
"https://www.how-ma.com/mag/category/special/","1","Indexable","","https://www.how-ma.com/mag/category/special/","","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","https://www.how-ma.com/mag/category/special/page/2/","","",""
"https://www.how-ma.com/mag","1","Non-Indexable","Canonicalised","https://www.how-ma.com/mag/","","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","https://www.how-ma.com/mag/page/2/","","",""
"https://www.how-ma.com/mag/page/2/","1","Indexable","","https://www.how-ma.com/mag/page/2/","","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","https://www.how-ma.com/mag/page/3/","https://www.how-ma.com/mag/","",""
"https://www.how-ma.com/otoiawase/new","1","Non-Indexable","noindex","https://www.how-ma.com/otoiawase/new","","","noindex","","","","",""
"https://www.how-ma.com/privacy","1","Non-Indexable","noindex","https://www.how-ma.com/privacy","","","noindex","","","","",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","2","Indexable","","https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","2","Indexable","","https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","",""
"https://www.how-ma.com/mag/category/interview/assessment-interview/","1","Indexable","","https://www.how-ma.com/mag/category/interview/assessment-interview/","","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","https://www.how-ma.com/mag/category/interview/assessment-interview/page/2/","","",""
"https://www.how-ma.com/","1","Indexable","","https://www.how-ma.com/","","","","","","","",""
"https://www.how-ma.com/mag/authors/","2","Indexable","","https://www.how-ma.com/mag/authors/","https://www.how-ma.com/mag/authors/","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","",""
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/","2","Indexable","","https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/","https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","",""
"https://www.how-ma.com/mag/category/news/","1","Indexable","","https://www.how-ma.com/mag/category/news/","","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","https://www.how-ma.com/mag/category/news/page/2/","","",""
"https://www.how-ma.com/mag/category/market/","1","Indexable","","https://www.how-ma.com/mag/category/market/","","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","https://www.how-ma.com/mag/category/market/page/2/","","",""
"https://www.how-ma.com/mag/category/interview/","1","Indexable","","https://www.how-ma.com/mag/category/interview/","","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","https://www.how-ma.com/mag/category/interview/page/2/","","",""
"https://www.how-ma.com/mag/category/sell/","1","Indexable","","https://www.how-ma.com/mag/category/sell/","","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","https://www.how-ma.com/mag/category/sell/page/2/","","",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-44/","2","Indexable","","https://www.how-ma.com/mag/interview/completion-of-sale-interview-44/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-44/","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","",""
"https://www.how-ma.com/mag/sell/sales-negotiation/","2","Indexable","","https://www.how-ma.com/mag/sell/sales-negotiation/","https://www.how-ma.com/mag/sell/sales-negotiation/","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","",""
"https://www.how-ma.com/mag/sell/price-change/","2","Indexable","","https://www.how-ma.com/mag/sell/price-change/","https://www.how-ma.com/mag/sell/price-change/","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-39/","2","Indexable","","https://www.how-ma.com/mag/interview/completion-of-sale-interview-39/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-39/","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","",""
"https://www.how-ma.com/mag/category/money/","1","Indexable","","https://www.how-ma.com/mag/category/money/","","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","https://www.how-ma.com/mag/category/money/page/2/","","",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-43/","2","Indexable","","https://www.how-ma.com/mag/interview/completion-of-sale-interview-43/","https://www.how-ma.com/mag/interview/completion-of-sale-interview-43/","","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","",""
