"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://www.how-ma.com/mag/","1","HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","33","Indexable",""
"https://www.how-ma.com/mag/category/special/","1","特別企画","4","Indexable",""
"https://www.how-ma.com/mag","1","HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","33","Non-Indexable","Canonicalised"
"https://www.how-ma.com/mag/page/2/","1","HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","33","Indexable",""
"https://www.how-ma.com/otoiawase/new","0","","0","Non-Indexable","noindex"
"https://www.how-ma.com/privacy","0","","0","Non-Indexable","noindex"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","1","3,300万円で買った物件がAI査定で4,000万円？浅草のワンルームで900万円の利益を出した公務員投資家がつかんだ「売り時のサイン」","68","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","1","家族が増えて3LDKが手狭になり、AI査定で住み替えを決断するまでの1年","36","Indexable",""
"https://www.how-ma.com/mag/category/interview/assessment-interview/","1","コラボ査定インタビュー","11","Indexable",""
"https://www.how-ma.com/","1","不動産を高く売るなら 事前査定 がマストまずは誰にもバレずに60秒でAI査定額をチェック！","45","Indexable",""
"https://www.how-ma.com/mag/authors/","1","HowMaマガジンの著者一覧","14","Indexable",""
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/","1","プロ不動産投資家はHowMaを使う！仲介手数料を抑え、希望価格以上で売った秘訣を暴露","42","Indexable",""
"https://www.how-ma.com/mag/category/news/","1","ニュース","4","Indexable",""
"https://www.how-ma.com/mag/category/market/","1","市況","2","Indexable",""
"https://www.how-ma.com/mag/category/interview/","1","インタビュー","6","Indexable",""
"https://www.how-ma.com/mag/category/sell/","1","売却","2","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-44/","1","8年住んだ不動産売却で利益を出せた理由はHowMaのAI査定！冷静な判断が導いた理想の売却","45","Indexable",""
"https://www.how-ma.com/mag/sell/sales-negotiation/","1","買主と価格交渉する際に注意点と5つのチェックポイント","26","Indexable",""
"https://www.how-ma.com/mag/sell/price-change/","1","2025年12月更新｜家がなかなか売れないとき…売出し価格変更のタイミングやポイント","42","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-39/","1","AI査定＋450万円で目黒のマンションを売却！不動産会社選びの正解が見えない不安をどう乗り越えたのか","50","Indexable",""
"https://www.how-ma.com/mag/category/money/","1","ローン・税金等","7","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-43/","1","AI査定で不動産の出口を見極めた。10年保有の投資マンションを1ヶ月で売却できた50代投資家の決断","49","Indexable",""
"https://www.how-ma.com/mag/page/3/","1","HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","33","Indexable",""
"https://www.how-ma.com/mag/category/buy/","1","購入","2","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-38/","1","AI査定＋自宅の強みの正確なプレゼンで高額売却！20年住んだ篠山市の戸建てを査定額より数百万円高く売却できたリアル体験談","60","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-46/","1","AI査定で不動産売却を決断し、90万の値下げのみで売却成功！会社員投資家のリアル体験記","43","Indexable",""
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-40/","1","AI査定の結果が人生を動かした！投資マンションが購入より100万アップで売れるまでのリアル","45","Indexable",""
"https://www.how-ma.com/mag/sell/souba-kyukyoku/","1","2025年11月更新｜誰にも知られず自宅の相場価格を調べる究極の方法【土地・戸建・マンション別】","48","Indexable",""
"https://www.how-ma.com/mag/content_policy/","1","HowMaマガジンの運営ポリシー","16","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-42/","1","AI査定を信じて2年越しの売却成功！サブリースマンションを売却できたのはHowMaで出会った不動産会社のおかげ","55","Indexable",""
"https://www.how-ma.com/market_price/stations/5822","1","鷺沼駅のマンション売却価格相場情報","17","Indexable",""
"https://www.how-ma.com/market_price/stations/7208","1","西鉄平尾駅のマンション売却価格相場情報","19","Indexable",""
"https://www.how-ma.com/market_price/stations/5821","1","宮前平駅のマンション売却価格相場情報","18","Indexable",""
