"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.how-ma.com/mag/","103","64","1.609","100.000","Very Easy","","","","","","","","","","ja","4c7a29c31142de4ff5a0140c3fcf48db","Indexable",""
"https://www.how-ma.com/mag/category/special/","90","58","1.552","100.000","Very Easy","","","","","","","","","","ja","e4eeb5eb961a28464004dfb9341e8757","Indexable",""
"https://www.how-ma.com/mag","103","64","1.609","100.000","Very Easy","","","","","","","","","","ja","4c7a29c31142de4ff5a0140c3fcf48db","Non-Indexable","Canonicalised"
"https://www.how-ma.com/mag/page/2/","104","62","1.677","100.000","Very Easy","","","","","","","","","","ja","99204175aaf69286440e762095419583","Indexable",""
"https://www.how-ma.com/otoiawase/new","39","30","1.300","100.000","Very Easy","","","","","","","","","","ja","a270eebad58396e2295f70abce039cb0","Non-Indexable","noindex"
"https://www.how-ma.com/privacy","216","143","1.510","100.000","Very Easy","","","","","","","","","","ja","f372f3abfa6535ee8ab1998a328d2d6c","Non-Indexable","noindex"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","233","172","1.355","100.000","Very Easy","","","","","","","","","","ja","63f7d5adb528de601cfc9ac138600f87","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","271","210","1.290","100.000","Very Easy","","","","","","","","","","ja","1738cf9cbbe5d41861cac390e329a8ce","Indexable",""
"https://www.how-ma.com/mag/category/interview/assessment-interview/","99","57","1.737","100.000","Very Easy","","","","","","","","","","ja","5aa2fd44e091877b62aa6750e30c62a7","Indexable",""
"https://www.how-ma.com/","835","574","1.455","100.000","Very Easy","","","","","","","","","","ja","caf44432f4fcdd240a2b6c60567cd34f","Indexable",""
"https://www.how-ma.com/mag/authors/","160","97","1.649","100.000","Very Easy","","","","","","","","","","ja","d76614aff3523e6da2f6cd2e96a8169a","Indexable",""
