"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","Canonical Link Element 2","HTTP Canonical","Indexability","Indexability Status"
"https://www.how-ma.com/mag/","1","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/","","","Indexable",""
"https://www.how-ma.com/javascripts/fxlx.js?1775459445","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/js/vendor/instantsearch.production.min.js?ver=1.0.0","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-39-768x390.png","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/category/special/","1","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/category/special/","","","Indexable",""
"https://www.how-ma.com/mag","1","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/","","","Non-Indexable","Canonicalised"
"https://www.how-ma.com/mag/page/2/","1","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/page/2/","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-42-3-768x390.png","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/themes/the-thor/js/fit-sidebar.min.js?ver=6.9.4","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-47-1-768x390.png","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-46-768x390.png","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/2016/10/424-4.jpeg","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-45-768x390.png","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-44-768x390.png","0","","","","","","","Indexable",""
"https://www.how-ma.com/otoiawase/new","1","noindex","","","https://www.how-ma.com/otoiawase/new","","","Non-Indexable","noindex"
"https://www.how-ma.com/mag/wp-content/themes/the-thor-child/style.css?ver= %20 %201.0.1703662115","0","","","","","","","Indexable",""
"https://www.how-ma.com/mag/wp-content/themes/the-thor/style.css?ver=6.9.4","0","","","","","","","Indexable",""
"https://www.how-ma.com/privacy","1","noindex","","","https://www.how-ma.com/privacy","","","Non-Indexable","noindex"
