"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","Canonical Link Element 2","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.how-ma.com/mag/","text/html; charset=UTF-8","200","OK","Indexable","","HowMaマガジン","9","123","「家を売る」「いつか売る」「もしかしたら売る」に役立つ情報、不動産の相場レポートや売買契約の詳細、売却時の注意点などを中心に住まいの売買に関わる情報を発信。","78","921","AI査定のHowMaが運営、不動産売買ノウハウや最新情報をプロ視点で執筆するWebマガジン","45","511","","0","HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","33","不動産売却","5","市況","2","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/","","https://www.how-ma.com/mag/page/2/","","","","","90424","20332","20332","7.789","","103","64","1.609","100.000","Very Easy","2.235","0","1","","85","81","0","34.180","57","31","0","2","2","0","","","","","4c7a29c31142de4ff5a0140c3fcf48db","0.074","Mon, 06 Apr 2026 07:23:21 GMT","","","","ja","1.1","","","","","","https://www.how-ma.com/mag/","2026-04-13 12:12:33"
"https://www.how-ma.com/javascripts/fxlx.js?1775459445","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.054","Fri, 10 Apr 2026 06:46:03 GMT","","","","","1.1","","","","","","https://www.how-ma.com/javascripts/fxlx.js?1775459445","2026-04-13 12:12:35"
"https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/js/vendor/instantsearch.production.min.js?ver=1.0.0","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.089","Mon, 01 Dec 2025 09:51:53 GMT","","","","","1.1","","","","","","https://www.how-ma.com/mag/wp-content/plugins/shifter-algolia-search/assets/js/vendor/instantsearch.production.min.js?ver=1.0.0","2026-04-13 12:12:35"
"https://www.how-ma.com/mag/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.052","Wed, 19 Nov 2025 09:11:54 GMT","","","","","1.1","","","","","","https://www.how-ma.com/mag/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","2026-04-13 12:12:35"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-39-768x390.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","457104","457104","457104","175.108","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.067","Mon, 06 Apr 2026 07:24:19 GMT","","","","","1.1","","","","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-39-768x390.png","2026-04-13 12:12:35"
"https://www.how-ma.com/mag/category/special/","text/html; charset=UTF-8","200","OK","Indexable","","特別企画 | HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","40","596","","0","0","","0","0","","0","特別企画","4","不動産売却","5","市況","2","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/category/special/","","https://www.how-ma.com/mag/category/special/page/2/","","","","","81825","19619","19619","7.516","","90","58","1.552","100.000","Very Easy","1.967","1","3","","191","81","0","34.180","44","28","0","2","2","0","","","","","e4eeb5eb961a28464004dfb9341e8757","0.133","Mon, 06 Apr 2026 07:23:21 GMT","","","","ja","1.1","","","","","","https://www.how-ma.com/mag/category/special/","2026-04-13 12:12:35"
"https://www.how-ma.com/mag","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","HowMaマガジン","9","123","「家を売る」「いつか売る」「もしかしたら売る」に役立つ情報、不動産の相場レポートや売買契約の詳細、売却時の注意点などを中心に住まいの売買に関わる情報を発信。","78","921","AI査定のHowMaが運営、不動産売買ノウハウや最新情報をプロ視点で執筆するWebマガジン","45","511","","0","HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","33","不動産売却","5","市況","2","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/","","https://www.how-ma.com/mag/page/2/","","","","","90424","20290","20290","7.773","","103","64","1.609","100.000","Very Easy","2.235","1","0","","455","235","0","99.160","57","31","0","2","2","0","","","","","4c7a29c31142de4ff5a0140c3fcf48db","0.118","Mon, 06 Apr 2026 07:23:21 GMT","","","","ja","1.1","","","","","","https://www.how-ma.com/mag","2026-04-13 12:12:35"
"https://www.how-ma.com/mag/page/2/","text/html; charset=UTF-8","200","OK","Indexable","","HowMaマガジン - 2ページ目","17","223","「家を売る」「いつか売る」「もしかしたら売る」に役立つ情報、不動産の相場レポートや売買契約の詳細、売却時の注意点などを中心に住まいの売買に関わる情報を発信。 - 2ページ目","86","993","AI査定のHowMaが運営、不動産売買ノウハウや最新情報をプロ視点で執筆するWebマガジン","45","511","","0","HowMaマガジン｜家を売る、いつか売るに備えるWEBメディアです","33","不動産売却","5","市況","2","max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","https://www.how-ma.com/mag/page/2/","","https://www.how-ma.com/mag/page/3/","https://www.how-ma.com/mag/","","","","85750","19604","19604","7.510","","104","62","1.677","100.000","Very Easy","2.117","1","3","","8","5","0","2.110","53","29","0","2","2","0","","","","","99204175aaf69286440e762095419583","0.027","Mon, 06 Apr 2026 07:23:24 GMT","","","","ja","1.1","","","","","","https://www.how-ma.com/mag/page/2/","2026-04-13 12:12:35"
"https://how-ma.com/users/sign_up","","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","81","81","0","34.180","0","0","0","0","0","0","","","","","","0.016","","https://www.how-ma.com/users/sign_up","HTTP Redirect","","","1.1","","","","","","https://how-ma.com/users/sign_up","2026-04-13 12:12:35"
"https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-42-3-768x390.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","375929","375929","375929","144.011","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.029","Mon, 06 Apr 2026 07:24:20 GMT","","","","","1.1","","","","","","https://www.how-ma.com/mag/wp-content/uploads/completion-of-sale-interview-42-3-768x390.png","2026-04-13 12:12:35"
